Pirkka suomalainen kylmäsavustettu kirjolohifilee 150g viipaloitu,399/kpl
Pirkka isot katkaravut 180g MSC pakaste,399/kpl
Pirkka suomalainen graavikirjolohifilee 150g viipaloitu,399/kpl
Pirkka kalakuutiot 300g MSC pakaste,379/kpl
Kirjolohi Suomi kg,n.2399/kpl
Lohifilee savustettu kg,2999/kg
Pirkka alaskanseiti annospaloina 400g/4kpl MSC pakaste,469/kpl
Kirjolohifilee C-leikkuu kg,2999/kg
Pirkka mätitahna 150g MSC,209/kpl
Pirkka anjovisfileet 145g/94g MSC,239/kpl
Pirkka janssoninfileet 145g/94g MSC,239/kpl
Hyvä Apaja kirjolohipyörykät 300g,329/kpl
Pirkka katkaravut 180g MSC pakaste,429/kpl
K-Menu katkaravut 250g MSC pakaste,459/kpl
Lykkeberg kalapihvit 4kpl MSC 260g,395/kpl
Abba anjovisfileitä 125/79g,309/kpl
Pirkka lohipasteija 145g ASC/MSC,195/kpl
Pirkka surimipuikko 200g MSC,245/kpl
Pirkka suomalainen savustettu kirjolohifilee n.700g,n.1607/kpl
Lohifilee graavi kg,5999/kg
Pirkka tonnikalapasteija 145g MSC,265/kpl
Tuore Gourmet Lohifile Norja,2699/kg
Kallen Mätitahna 190g,415/kpl
Pirkka maustesilli 550g/250g MSC,500/2 kpl
Hyvä Apaja kalanugetti 250g,355/kpl
Pirkka suomalainen kylmäsavustettu kirjolohifilee 400g,1395/kpl
Pirkka sipulisilli 550g/250g MSC,500/2 kpl
Pirkka pienet katkaravut 350g MSC pakaste,739/kpl
Eriksson kirjolohifilee kylmäsavustettu 150g viipaloitu suomalainen,599/kpl
Pirkka herkkusilli matjeskastikkeessa 250g/150g MSC,199/kpl
Lohimedaljonki kg,n.770/kpl
Kallen mätitahna 300g,549/kpl
SJØ kylmäsavulohiviipale 150g ASC,799/kpl
Pirkka tomaattisilli 550g/250g MSC,500/2 kpl
Pirkka pangasiusfileet 4-5 kpl/500g ASC pakaste,499/kpl
Kalaneuvos kylmäsavukirjolohisiivu 150g,799/kpl
Kallen Raidallinen mätitahna 185g,415/kpl
Pirkka sinappisilli 550g/250g MSC,500/2 kpl
Tuore kuha kokonainen kg,2490/kg
Pirkka tillisilli 550g/250g MSC,500/2 kpl
Lapin kylmäsavu kirjolohifileesiivu 100g,599/kpl
Pirkka matjessillifileet n180g MSC vakuumi,n.305/kpl
SJØ graavilohiviipale 150g ASC,799/kpl
Abba ranskalainen sipulisilli 240/120g,389/kpl
Ahti tomaattisilli 240/150g,459/kpl
